0	wordnet_builder_109878275	relatedto	wordnet_architect_109805475
1	wordnet_business_108061042	antonym	wordnet_art_102743547
2	wordnet_cast_113913566	relatedto	wordnet_group_100031264
3	wordnet_statue_104306847	usedfor	wordnet_memorial_106688522
4	wordnet_fall_115236859	distinctfrom	wordnet_spring_115237044
5	wordnet_contest_107456188	synonym	wordnet_pageant_100899761
6	wordnet_fall_115236859	relatedto	wordnet_disease_114070360
7	wordnet_book_106410904	relatedto	wordnet_record_106647206
8	wordnet_lama_110243664	synonym	wordnet_lama_110243664
9	wordnet_mountain_109359803	antonym	wordnet_valley_109468604
10	wordnet_road_104096066	relatedto	wordnet_tunnel_104497962
11	wordnet_keyboard_103614007	relatedto	wordnet_computer_103082979
12	wordnet_saint_110546850	relatedto	wordnet_figure_106999647
13	wordnet_dancer_109989502	capableof	wordnet_dance_107020538
14	wordnet_accident_107301336	relatedto	wordnet_coat_of_arms_103058726
15	wordnet_building_102913152	atlocation	wordnet_town_108665504
16	wordnet_body_105216365	relatedto	wordnet_main_109345932
17	wordnet_factory_103316406	relatedto	wordnet_business_108061042
18	wordnet_plant_disease_114276936	relatedto	wordnet_plant_100017222
19	wordnet_mining_100922327	hascontext	wordnet_military_108199025
20	wordnet_bishop_109857200	relatedto	wordnet_vehicle_104524313
21	wordnet_plan_105898568	relatedto	wordnet_design_100928077
22	wordnet_biography_106515827	atlocation	wordnet_library_103660909
23	wordnet_demographic_106022076	relatedto	wordnet_age_104924103
24	wordnet_translation_106536389	hascontext	wordnet_medicine_106043075
25	wordnet_premier_109907196	relatedto	wordnet_governor_110140314
26	wordnet_protest_107210225	antonym	wordnet_agreement_106770275
27	wordnet_entry_106503724	relatedto	wordnet_datum_105816622
28	wordnet_scale_113850304	hascontext	wordnet_music_107020895
29	wordnet_code_106667317	relatedto	wordnet_computer_103082979
30	wordnet_music_107020895	relatedto	wordnet_dance_107020538
31	wordnet_vacation_115137890	relatedto	wordnet_event_100029378
32	wordnet_equilibrium_113934900	relatedto	wordnet_condition_113920835
33	wordnet_bridge_102898711	atlocation	wordnet_river_109411430
34	wordnet_mine_103768346	relatedto	wordnet_ship_104194289
35	wordnet_order_107168623	relatedto	wordnet_small_105559023
36	wordnet_design_100928077	relatedto	wordnet_structure_104341686
37	wordnet_organization_108008335	relatedto	wordnet_charity_108406619
38	wordnet_instrument_103574816	synonym	wordnet_play_107007945
39	wordnet_language_106282651	relatedto	wordnet_tool_104451818
40	wordnet_school_108276720	synonym	wordnet_institute_108407330
41	wordnet_speaker_110630188	atlocation	wordnet_conference_108308497
42	wordnet_value_105856388	hascontext	wordnet_music_107020895
43	wordnet_land_109334396	relatedto	wordnet_region_108630039
44	wordnet_nerve_105474346	atlocation	wordnet_animal_100015388
45	wordnet_house_103544360	relatedto	wordnet_box_102883344
46	wordnet_platform_103961939	relatedto	wordnet_model_110324560
47	wordnet_conclave_108308410	relatedto	wordnet_pope_110453533
48	wordnet_artist_109812338	relatedto	wordnet_art_102743547
49	wordnet_nationality_107949463	synonym	wordnet_race_107472657
50	wordnet_minister_110320863	relatedto	wordnet_president_110468962
51	wordnet_driver_110034906	relatedto	wordnet_club_108227214
52	wordnet_color_104956594	synonym	wordnet_color_104956594
53	wordnet_box_102883344	relatedto	wordnet_post_108624385
54	wordnet_feature_105849789	relatedto	wordnet_item_106482401
55	wordnet_tunnel_104497962	hascontext	wordnet_car_102958343
56	wordnet_development_100250259	relatedto	wordnet_organism_100004475
57	wordnet_song_107048000	relatedto	wordnet_art_102743547
58	wordnet_diagnosis_100152727	hascontext	wordnet_medicine_106043075
59	wordnet_tribe_108372411	antonym	wordnet_organization_108008335
60	wordnet_rock_109416076	usedfor	wordnet_hurling_100470830
61	wordnet_text_106387980	partof	wordnet_publication_106589574
62	wordnet_court_108329453	relatedto	wordnet_day_115155220
63	wordnet_port_108633957	relatedto	wordnet_opening_100457890
64	wordnet_cast_113913566	relatedto	wordnet_set_107996689
65	wordnet_information_106634376	relatedto	wordnet_judge_110225219
66	wordnet_collection_107951464	relatedto	wordnet_set_107996689
67	wordnet_pass_109386842	relatedto	wordnet_sport_100523513
68	wordnet_bay_109215664	partof	wordnet_ship_104194289
69	wordnet_show_100520257	relatedto	wordnet_type_105840188
70	wordnet_company_108058098	atlocation	wordnet_city_108524735
71	wordnet_cardinal_109894143	relatedto	wordnet_number_105121418
72	wordnet_game_100456199	relatedto	wordnet_match_103728437
73	wordnet_tunnel_104497962	relatedto	wordnet_road_104096066
74	wordnet_payment_113278375	relatedto	wordnet_value_105856388
75	wordnet_mare_102377480	relatedto	wordnet_sea_109426788
76	wordnet_set_107996689	relatedto	wordnet_type_105840188
77	wordnet_egg_101460457	relatedto	wordnet_item_106482401
78	wordnet_statue_104306847	relatedto	wordnet_city_108524735
79	wordnet_house_103544360	relatedto	wordnet_business_108061042
80	wordnet_head_110162991	relatedto	wordnet_beer_107886849
81	wordnet_computer_103082979	usedfor	wordnet_play_107007945
82	wordnet_record_106647206	relatedto	wordnet_play_107007945
83	wordnet_land_109334396	relatedto	wordnet_medium_106254669
84	wordnet_aqueduct_102732433	relatedto	wordnet_channel_106259898
85	wordnet_address_107238694	relatedto	wordnet_suit_104350905
